epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
207,9804.88,0.29131,0.46159,0.22384,0.9296,0.89083,0.93469,0.63197,0.4195,0.42095,0.35573,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212
15,975.612,0.53778,0.68087,0.41557,0.75729,0.65284,0.70413,0.25848,0.70891,0.5773,0.75002,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
208,9867.96,0.30131,0.46792,0.22597,0.92945,0.89083,0.93562,0.63696,0.41554,0.42049,0.35426,0.0177042,0.0059014,0.0177042,0.0059014,0.0177042,0.0059014,0.0177042,0.0059014
16,1038.47,0.53995,0.68794,0.41176,0.82598,0.72547,0.79146,0.38615,0.57934,0.56361,0.54327,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
209,9931.26,0.29505,0.47058,0.22564,0.93231,0.8872,0.93407,0.64118,0.41255,0.41512,0.3524,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816
17,1101.78,0.53321,0.67367,0.40469,0.81631,0.68889,0.7661,0.36123,0.57646,0.5907,0.54233,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
210,9994.57,0.28615,0.46867,0.22098,0.93286,0.88734,0.93418,0.63463,0.41798,0.41654,0.36071,0.0175854,0.0058618,0.0175854,0.0058618,0.0175854,0.0058618,0.0175854,0.0058618
18,1164.98,0.51762,0.67063,0.39386,0.77405,0.64326,0.6912,0.24151,0.70269,0.61221,0.75087,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
211,10057.6,0.29448,0.46132,0.22679,0.93543,0.87828,0.9319,0.62511,0.42659,0.42253,0.37466,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
19,1228.04,0.52666,0.66453,0.39939,0.81593,0.71288,0.77409,0.33928,0.62072,0.55191,0.62183,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
212,10120.9,0.28814,0.45228,0.2258,0.94022,0.8757,0.93238,0.61677,0.43516,0.42405,0.38569,0.0174666,0.0058222,0.0174666,0.0058222,0.0174666,0.0058222,0.0174666,0.0058222
20,1291.41,0.51723,0.65555,0.40233,0.82494,0.71507,0.7969,0.36393,0.62798,0.54317,0.58337,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
213,10184.2,0.28993,0.4627,0.22823,0.93785,0.87336,0.9298,0.6127,0.43713,0.42648,0.38612,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024
21,1354.61,0.5157,0.65803,0.40017,0.80834,0.69924,0.77329,0.38388,0.58948,0.55646,0.54237,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
214,10247,0.31301,0.47512,0.23628,0.94037,0.87809,0.93266,0.6215,0.43191,0.42506,0.38071,0.0173478,0.0057826,0.0173478,0.0057826,0.0173478,0.0057826,0.0173478,0.0057826
