epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,539.986,1.51376,1.4162,1.64634,0.61507,0.40993,0.52632,0.27812,1.94429,1.84554,1.83216,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,559.396,1.51626,1.38983,1.64818,0.63017,0.52737,0.60486,0.33852,1.75261,1.47488,1.71202,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,573.192,1.49109,1.37235,1.64197,0.60428,0.506,0.58801,0.34828,1.67813,1.51981,1.64842,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,591.234,1.50006,1.37418,1.6321,0.65883,0.55895,0.64413,0.38386,1.68794,1.39098,1.62213,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,609.786,1.47749,1.36808,1.62772,0.6679,0.58952,0.67141,0.40246,1.60759,1.33371,1.5597,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,623.402,1.47527,1.33789,1.62175,0.71573,0.61954,0.69552,0.4317,1.54765,1.29762,1.53403,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,641.939,1.47944,1.32896,1.61775,0.75579,0.6352,0.73031,0.4148,1.63383,1.24735,1.58225,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,659.946,1.46918,1.3241,1.61592,0.70451,0.61572,0.68909,0.38594,1.69602,1.33248,1.62071,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,673.671,1.46528,1.33048,1.60824,0.72263,0.66129,0.73607,0.44889,1.56017,1.19325,1.54049,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,694.99,1.46579,1.3131,1.60729,0.68977,0.60644,0.69448,0.428,1.56358,1.27205,1.54584,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,710.376,1.46507,1.32294,1.60662,0.7265,0.62773,0.72915,0.45485,1.52628,1.21085,1.51448,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,725.998,1.45405,1.30479,1.6045,0.71681,0.64028,0.72276,0.45305,1.51081,1.18112,1.5148,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,744.591,1.44011,1.26984,1.58681,0.75355,0.64425,0.73366,0.45,1.51893,1.18579,1.48694,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,758.276,1.44742,1.30087,1.59216,0.73086,0.66212,0.74189,0.47271,1.51892,1.16415,1.51748,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,777.399,1.43695,1.27845,1.57967,0.71626,0.62282,0.71202,0.44582,1.53567,1.26609,1.52598,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,791.003,1.43522,1.2733,1.58248,0.73288,0.62118,0.71888,0.44295,1.56429,1.33022,1.51789,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,810.134,1.42369,1.25383,1.57281,0.78394,0.6298,0.74515,0.45231,1.54171,1.15684,1.48638,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,823.477,1.42472,1.25031,1.57337,0.74595,0.66212,0.74632,0.46053,1.48418,1.16286,1.47073,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,842.86,1.4237,1.24041,1.57259,0.74609,0.68504,0.76105,0.44618,1.62577,1.17773,1.54653,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
